Title,Description
Digitale Transformation: Mehrwert schaffen,"Digitale Transformation bringt viele neue Möglichkeiten mit sich, die Ihr Unternehmen noch effizienter agieren lassen. Doch was heißt eigentlich digitale Transformation? Und was sind die aktuellen Trends, mit denen es gelingt, Mehrwert für Angebote zu schaffen? Dies und mehr erfahren Sie in diesem Kurs.

Lernziele
- Sie kennen die Vorteile der digitalen Transformation und können diese erklären.
- Sie kennen die 10 Megatrends der Digitalisierung."
Mehr Tempo durch Digitalisierung,"Digitale Transformation birgt das Potential, Tempo in Ihre Organisation zu bringen. Geschwindigkeit ist wichtig, um am Markt erfolgreich zu sein und zu bleiben. Wie Sie das Tempo innerhalb Ihrer Organisation erhöhen und weiterhin auf Erfolgskurs bleiben, erfahren Sie in diesem Kurs.

Lernziele
- Sie können die Chancen von mehr Tempo in unternehmerischen Prozessen erklären.
- Sie können Ihre Arbeitsprozesse effizienter und schneller gestalten."
Neue Konzepte für die digitale Transformation,"Neue Tools und Methoden unterstützen Sie und Ihr Unternehmen dabei die digitale Transformation erfolgreich zu meistern. In diesem Kurs erhalten Sie einen Überblick von Design Thinking bis Agilität, um fundiert mitreden zu können.

Lernziele:
- Sie kennen die Grundlagen des agilen Arbeitens und können diese erklären.
- Sie wissen was ""Minimum Viable Product"" und das Konzept ""Lean"" sowie die Methoden ""Design Thinking"", ""Scrum"" und ""Kanban"" bedeuten und können diese erklären."
Basiswissen BWL,"Grundlagenwissen im Bereich BWL ist für jeden Mitarbeiter wichtig, um die Organisationseinheit Unternehmen besser zu verstehen und kostengünstiger arbeiten zu können. Mit unserem eLearning können Ihre Mitarbeiter dieses Wissen erwerben bzw. festigen. So kennen alle Mitarbeiter Grundzüge der Betriebswirtschaftslehre und können damit ihren Beitrag zum Unternehmenserfolg leisten!

Lernziele
- Sie wissen, was ein Geschäftszweck ist und kennen die einzelnen Unternehmensformen.
- Sie lernen das Kostencontrolling kennen, d. h. welche Kosten und Kostenarten entstehen im Unternehmen.
- Sie lernen die Kennzahlenanalyse, -berechnung und die richtige Verwendung der Kennzahlen kennen.
- Sie lernen den Aufbau einer Bilanz und die Gewinn- und Verlustrechnung kennen."
Controlling Basiswissen,"Für alle Mitarbeiter, die mit planenden, steuernden und koordinierenden Aufgaben betraut sind, sind Kenntnisse des Controllings unverzichtbar. Mit unserem eLearning können Ihre Mitarbeiter dieses Wissen im Bereich Controlling erwerben bzw. festigen. So kennen alle Controlling als integrierten Managementprozess im Unternehmen und lernen die Umsetzung wichtiger Controlling-Instrumente und Tools in die betriebliche Praxis.

Lernziele
- Sie lernen, was man unter Controlling versteht und kennen die Aufgaben und Methoden des operativen und strategischen Controllings.
- Sie lernen die verschiedenen Kostenarten kennen und wissen, wie und wann Kostenstellen im Unternehmen zum Einsatz kommen.
- Sie wissen, welche Bestandteile ein Kalkulationsschema hat und wie eine Kalkulation grundlegend aufgebaut wird.
- Sie kennen die Bestandteile und den Aufbau einer Deckungsbeitragsrechnung und wissen, wie eine Break-Even-Analyse durchgeführt wird."
Digitale Wissensquellen effektiv nutzen,"Was im Privatleben schon selbstverständlich ist, wird in Zukunft auch im Beruf wichtiger: Fragen mit Hilfe von digitalen Wissensquellen schnell beantworten. Von der schnellen Google-Suche über Online-Kurse von Experten bis hin zu Videoanleitungen für Alltagsprobleme findet man online auf jede Frage eine Antwort.
In diesem Training lernen Sie, wie Sie die einzelnen Wissensquellen effektiv benutzen können, um Ihren Berufsalltag effizienter zu machen.

Lernziele:
 - Sie erfahren welche digitalen Wissensquellen es gibt.
 -  Sie lernen wie Sie diese Wissensquelle effektiv nutzen.
 -  Sie lernen gute Fragen für eine effiziente Suche zu formulieren.
 -  Sie erfahren wie Sie die Qualität von Antworten hinterfragen und bewerten."
Agile Methoden in Projekten - ein Überblick,"Projekte nehmen immer häufiger komplexe Züge an. Agile Methoden bieten hierfür Ansätze, mit diesen neuen Bedingungen umzugehen. Dieses eLearning vermittelt, ausgehend von den theoretischen Grundlagen des agilen Projektmanagements, alle wichtigen Arbeitsweisen, um Projekte agil anzugehen und voranzutreiben. Neben rein agilen Methoden, wie z. B. Scrum, werden auch verschiedene Mischtypen aufgezeigt.

Lernziele
- Sie kennen die Grundlagen des agilen Projektmanagements.
- Sie kennen die Unterschiede zwischen agilem und klassischem Projektmanagement.
- Sie kennen agile Grundprinzipien und haben verstanden, dass agil auch in Projekten außerhalb des IT-Umfelds funktionieren kann.
- Sie haben ein Bewusstsein für die Prozesse und Artefakte agiler Projekte.
- Sie kennen die verschiedenen Rollen in agilen Projekten.
- Sie kennen Stellschrauben, Chancen und Grenzen von agilen Projekten."
Arbeitsschutz im Büro,"Arbeitsunfälle ziehen nicht nur furchtbare Folgen für die Betroffenen nach sich, sondern verursachen auch bei Ihrem Unternehmen zusätzliche Kosten. Auch wenn Sie seit langer Zeit keine Unfälle mehr in Ihrem Unternehmen verzeichnen mussten, kann es trotzdem jederzeit zu Unfällen oder berufsbedingten Krankheiten kommen. Vermeiden Sie dies dank gut geschulter und sensibilisierter Mitarbeiter. Ihre Mitarbeiter erkennen mögliche Gefahren, können Unfälle vermeiden und wissen, wie sie sich richtig verhalten.

Lernziele
- Ihre Mitarbeiter kennen die Maßnahmen und Grundsätze, die es in Bezug auf Arbeitssicherheit im Büro gibt.
- Ihre Mitarbeiter wissen, wie sie ihre Büroarbeit sicher und gesund gestalten.
- Ihre Mitarbeiter lernen, wie sie Gefährdungen erkennen und diesen vorbeugen können.
- Ihre Mitarbeiter wissen, wie sie sich im Not- und Brandfall richtig verhalten."
Mobbing,"Das Bundesarbeitsgericht versteht unter Mobbing am Arbeitsplatz systematische Angriffe gegen Mitarbeiter*innen, die nicht nur einmalig, sondern über einen längeren Zeitraum stattfinden. Umgangssprachlich wird Mobbing auch als Psychoterror am Arbeitsplatz bezeichnet. In diesem eLearning lernen Sie, die Ursachen und Folgen von Mobbing zu verstehen und bewusst gegen Mobbing vorzugehen.

Lernziele
- Sie kennen die Ursachen und unterschiedlichen Formen von Mobbing.
- Sie wissen, welche Folgen Mobbing für die Beteiligten und das Unternehmen hat.
- Sie können Mobbingverhalten erkennen und gezielt eingreifen.
- Sie können Maßnahmen ergreifen, um Mobbing vorzubeugen."
Blended Learnings wirkungsvoll konzipieren,"Blended Learnings werden von Trainern und Personalern als DAS Lernformat mit dem größten Wachstumspotenzial gesehen.
Hierbei kommt das Beste aus Präsenz und digitalen Lerneinheiten zusammen, um den größtmöglichen Lernerfolg zu gewährleisten. Durch Blended-Learning-Szenarien ermöglichen Sie bedarfsgerechtes Lernen und orientieren sich im Idealfall an den konkreten Projekten der Teilnehmer. Lernen Sie in diesem eLearning Schritt für Schritt effektive Blended-Learning-Konzepte zu entwickeln.

Lernziele
- Sie wissen, was Blended Learning ist und kennen Mehrwert und Einsatzmöglichkeiten.
- Sie wissen, wie Sie in 10 Schritten ein nachhaltiges Blended-Learning-Konzept entwickeln.
- Sie kennen die Rahmenbedingungen, die es bei der Konzeption zu beachten gilt und warum.
- Sie wissen, wie Sie Lernziele aus dem Projektziel ableiten und können diese definieren.
- Sie können Lernbausteine gestalten und wissen, wann welches Lernformat Sinn ergibt.
- Sie wissen, was eine Learner Journey ist und können diese gestalten.
- Sie kennen Bedeutung und Methodenvielfalt des Social Learning und können diese in den Lernprozess integrieren.
- Sie kennen verschiedene Kommunikationskanäle und wissen, wie ein Kommunikationsleitfaden aufgebaut ist.
- Sie wissen, wie und durch welche Rollen ein Lernprozess begleitet werden kann und kennen den Mehrwert."
Aufgaben delegieren,"Delegieren bedeutet, Verantwortung und Kompetenz an Mitarbeiter zu übertragen. Dabei geht es nicht nur darum, kleinere Teilaufgaben zu übertragen, sondern auch um die Zuweisung von mehr Verantwortung und Entscheidungsbefugnis. Dies bringt jedoch nicht nur Vorteile mit sich, sondern birgt auch Risiken.

In diesem Training lernen Sie, Risiken der Delegation möglichst zu vermeiden und die Vorteile optimal zu nutzen.

Lernziele
- Sie wissen welche Aufgaben delegiert werden können.
- Sie können Aufgaben so verteilen, dass Mitarbeiter motiviert werden.
- Sie können Mitarbeiter richtig einschätzen und so Probleme vorausschauend vermeiden.
- Sie können sowohl schriftlich als auch mündlich souverän delegieren."
Entscheidungen treffen - in sechs Schritten zum Ziel,"Jeder Mensch trifft täglich viele Entscheidungen – auch Sie haben heute sicher schon viele kleine Entscheidungen getroffen. Manche Menschen wägen Entscheidungen lange ab, andere entscheiden häufig aus dem Bauch heraus. Meistens machen wir uns über Entscheidungsprozesse wenig Gedanken. Doch was tun Sie, wenn Sie im beruflichen Kontext eine Entscheidung treffen müssen, die Sie auch rational begründen müssen? Oder Sie unterschiedliche Meinungen und Ansichten in einem Entscheidungsprozess miteinander verbinden müssen? Oder Sie unsicher sind, was genau eigentlich entschieden werden soll?

Dieses eLearning zeigt auf, wie Sie durch ein phasenweises Vorgehen zu guten und tragfähigen Entscheidungen kommen.

Lernziele
- Sie lernen ein Phasenmodell für Entscheidungen kennen.
- Sie wissen, wie Sie Ziele für Entscheidungen formulieren können.
- Sie können die Stakeholder einer Entscheidung identifizieren und ihren Einfluss abschätzen.
- Sie können Stärken, Schwächen, Chancen und Risiken einer Entscheidung ermitteln.
- Sie wissen, wann Modelle zur Entscheidung vorgegeben werden und wann Sie Modelle bilden.
- Sie lernen eine Methode kennen, aus Kriterien unterschiedliche Modelle zu bilden.
- Sie lernen eine Methode zur Bewertung von Modellen kennen.
- Sie können Risiken einer Entscheidung ermitteln und klassifizieren.
- Sie können darstellen, wie eine Entscheidungsvorlage entwickelt wurde.
- Sie können einen Maßnahmenplan zum Transfer der Entscheidung erstellen.
- In einer Simulation wenden Sie Ihr Wissen auf einen konkreten Entscheidungsprozess an und erfahren sofort, ob Sie die Entscheidung erfolgreich vorbereitet haben."
Die Fehlerkultur: Scheiter heiter,"Aus Fehlern wird man klug – das sagt sich so leicht. Im Job sieht die Realität meist anders aus: Da empfinden wir Fehler oft als peinliches No-Go und möchten die Schuld am liebsten einem Sündenbock in die Schuhe schieben. Eine solch destruktive Fehlerkultur ist Gift fürs Betriebsklima und blockiert wichtige Lernprozesse. Wie sie lernen, heiter(er) zu scheitern, zeigen Ihnen dieses eLearning!

Lernziele
- Sie wissen, dass Fehler manchmal notwendig und sogar nützlich sind.
- Sie wissen auch, dass das Ignorieren und Bestrafen von Fehlern tabu ist.
- Sie können Fehler mehr als Chance zur Entwicklung begreifen
- Sie gehen konstruktiver mit eigenen Fehlern und denen der anderen um."
Arbeitsrecht für Führungskräfte,"In schwierigen Führungssituationen wird von Ihren Führungskräften nicht nur soziale Kompetenz erwartet, sondern auch eine für das Unternehmen juristisch korrekte Vorgehensweise. Arbeitsrechtliches Fachwissen ist daher für jede Führungskraft in Ihrem Unternehmen unverzichtbar, um in den Beschäftigungsverhältnissen mit Ihren Mitarbeitern immer rechtssichere Entscheidungen zu treffen und Mitarbeiter nachvollziehbar zu führen.

Lernziele
- Sie erhalten grundlegende rechtliche Informationen, um Aufhebungsverträge wirksam abschließen zu können und wissen, welche Formvorschriften und Aufklärungs- und Hinweispflichten Sie im Zusammenhang mit Aufhebungsverträgen beachten müssen.
- Sie wissen, welche Zeugnisarten es gibt und wann ein Anspruch auf Zeugniserstellung besteht und Sie wissen, was bei der Zeugniserstellung bezüglich Form, Aufbau und vor allem Inhalt zu beachten ist.
- Sie kennen die rechtlichen Vorgaben zur täglichen Höchstarbeitszeit, wissen was Sie bezüglich Ruhepausen und Ruhezeiten sowie der Sonn- und Feiertagsruhe beachten müssen und kennen die Folgen bei Verstößen gegen das Arbeitszeitgesetz.
- Sie wissen, was beim Antrag auf Elternzeit zu beachten und, ob und inwieweit eine Verlängerung oder Verkürzung der Elternzeit möglich ist.
- Sie kennen die Unterschiede der Abmahnung zu anderen arbeitsrechtlichen Maßnahmen, wie der Kündigung, Kritikgespräch und Ermahnung, und Sie wissen, wie Sie eine Abmahnung optimal vorbereiten und ein wirksames Abmahnungsschreiben erstellen.
- Sie wissen, ob jede Kündigung eines Kündigungsgrunds bedarf und welche Kündigungsgründe und Kündigungsarten es gibt. Sie erfahren, welche Vorgaben zu Form und Frist es bei einer Kündigung zu beachten gibt.
- Sie wissen, ob jede Kündigung eines Kündigungsgrunds bedarf und welche Kündigungsgründe und Kündigungsarten es gibt. Sie erfahren, welche Vorgaben zu Form und Frist es bei einer Kündigung zu beachten gibt."
Digital Leadership - High Performance Teams,"Als Führungskraft Ihres Teams werden Sie im digitalen Zeitalter vor neue Herausforderungen gestellt und müssen die Zusammenarbeit Ihres Teams neu definieren. Dazu gibt Ihnen Christoph Burkhardt in diesem Kurs wertvolle Tipps und Impulse Ihre eigene Rolle im Rahmen der Mitarbeiterführung zu reflektieren und die Zusammenarbeit Ihres Teams neu zu denken.

Lernziele
- Sie wissen welches Mindset Ihr Team erfolgreich machen kann.
- Sie lernen, wie sie die Neugier Ihrer Mitarbeiter wecken und ihre Einzigartigkeit fördern können.
- Sie wissen, wie Sie auf das immer höhere Tempo reagieren müssen.
- Sie lernen, die Bedeutung der Art Ihrer Sprache als Führungskraft.
- Sie wissen, wie Sie Ihre Mitarbeiter in stressigen Zeiten stärken können. "
Digital Leadership - Führung neu gedacht,"Im digitalen Zeitalter müssen Sie als Führungskraft gleichzeitig mehrere Herausforderungen meistern. Sie müssen Ihre eigene Rolle aber auch die Rolle Ihrer Mitarbeiter neu definieren. Dazu gibt Ihnen Christoph Burkhardt in diesem Kurs wertvolle Tipps und Impulse Ihre eigene Rolle zu reflektieren und Ihre Rolle als Führungskraft neu zu denken.

Lernziele
- Sie lernen, die Bedeutung Ihres eigenen Purpose kennen und wie dieser mit Ihrer Strategie zusammenhängt.
- Sie wissen, wie Sie aktiver Gestalter werden und Ihren Purpose nicht aus den Augen verlieren.
- Sie lernen, wie Sie Ihre Strategie definieren.
- Sie wissen wie Sie mit Risiken umgehen und dabei fokussiert bleiben.
- Sie wissen, wie wertvoll gute Netzwerke sind und wie Sie diese schaffen. "
